date,işsizlik maaşı,işsizlik ödeneği,işsizlik başvurusu,işsizlik ödeneği nasıl alınır,işkur başvuru,sgk işten çıkış,işten çıkarılma tazminatı,kıdem tazminatı hesaplama,ihbar tazminatı,iş ilanı,iş arama,iş başvurusu,işkur,özgeçmiş,kariyer.net,mülakat soruları,ek iş,memur alımı,fabrika işçi alımı,güvenlik görevlisi alımı,işsizlik
2013-02-01,15.74703955656337,0.25,0.09090909090909091,0.0,3.9367598891408426,0.55,0.03,1.6875,1.475,23.620559334845055,0.78,60.36365163349292,384.9276336048824,2.25,68.23717141177461,1.375,1.4,41.75351397573621,0.0,0.16,22.964432686654913
2013-03-01,14.43478626018309,0.25,0.15151515151515152,0.0,3.9367598891408426,0.4875,0.05,1.625,1.275,22.308306038464774,0.76,56.426891744352076,384.9276336048824,2.2857142857142856,68.23717141177461,1.65625,1.32,35.78872626491675,0.0,0.18,21.324116066179563
2013-04-01,14.43478626018309,0.25,0.2727272727272727,0.0,5.2490131855211235,0.6125,0.0,1.5,1.425,22.308306038464774,0.78,52.49013185521124,481.159542006103,2.5,62.98815822625348,2.09375,1.32,41.75351397573621,0.0,0.16,21.324116066179563
2013-05-01,14.43478626018309,0.25,0.12121212121212122,0.0,3.9367598891408426,0.4875,0.05,1.375,1.4,20.996052742084494,0.74,51.177878558830955,367.4309229864786,2.6785714285714284,62.98815822625348,2.03125,1.28,45.73003911628252,0.0,0.51,21.324116066179563
2013-06-01,14.43478626018309,0.25,0.12121212121212122,0.0,3.9367598891408426,0.5625,0.0,1.3125,1.375,24.932812631225335,0.78,51.177878558830955,314.9407911312674,2.25,57.73914504073236,1.5,1.16,43.74177654600936,0.0,0.31,21.324116066179563
2013-07-01,18.371546149323933,0.3333333333333333,0.15151515151515152,0.0,3.9367598891408426,0.6375,0.0,1.75,1.525,27.557319223985896,0.82,65.61266481901404,367.4309229864786,2.25,73.48618459729573,1.78125,1.44,33.8004636946436,0.0,0.31,26.24506592760562
2013-08-01,15.74703955656337,0.3333333333333333,0.24242424242424243,0.0,3.9367598891408426,0.625,0.07,1.8125,1.325,24.932812631225335,0.78,60.36365163349292,349.9342123680749,2.4642857142857144,62.98815822625348,1.71875,1.52,33.8004636946436,0.0,0.21,24.604749307130266
2013-09-01,18.371546149323933,0.3333333333333333,0.2727272727272727,0.0,6.561266481901405,0.7125,0.06,2.0625,1.6,28.86957252036618,0.76,72.17393130091546,411.172699532488,2.642857142857143,68.23717141177461,1.59375,2.68,33.8004636946436,0.0,0.26,26.24506592760562
2013-10-01,18.371546149323933,0.25,0.15151515151515152,0.0,3.9367598891408426,0.5375,0.05,1.875,1.35,23.620559334845055,0.66,53.802385151591515,341.185857058873,2.392857142857143,47.24111866969011,1.59375,1.84,65.61266481901404,0.0,0.37,24.604749307130266
2013-11-01,19.683799445704214,0.3333333333333333,0.21212121212121213,0.02,3.9367598891408426,0.4875,0.0,2.0,1.425,24.932812631225335,0.76,57.73914504073236,393.67598891408426,2.7857142857142856,47.24111866969011,1.3125,1.72,57.659614537921435,0.0,0.4,26.24506592760562
2013-12-01,15.74703955656337,0.25,0.21212121212121213,0.0,2.6245065927605618,0.5375,0.02,1.5,1.5,22.308306038464774,0.64,48.553371966070394,332.4375017496711,3.357142857142857,41.99210548416899,0.90625,1.4,23.859150843277835,0.0,0.25,24.604749307130266
